	plot_ID	elevation_zone	lat	lon	elevation	aspect	slope	plot_size	rock_soil	cover_rock	soildpt_median	soildpt_mean	folded_aspect_NE	heatload	pH_H2O	Ca	Cu	Fe	K	Mg	Mn	P	Zn	total_N	total_C	CN_ratio	fog_freq
50	L61	850	24.85496	121.52917	860	340	18	100	10	5	3	16.75	65	0.918973257	4.194	43.61779657	1.608853871	347.9769444	123.1242547	42.48747354	11.61624618	12.83835987	2.503241245	0.621743696	7.683486704	12.35796479	0.15794
51	L62	850	24.85562	121.52943	840	295	31	100	20	5	4.5	30.5	110	1.026037184	4.305	9.601985543	0.865328029	229.5172134	75.54995261	25.04633126	4.765464438	4.385662679	1.445437355	0.369404613	4.499044248	12.17917723	0.13309
52	L63	850	24.85629	121.53074	850	350	28	100	1	3	4	22.5	55	0.793505877	4.186	31.07479093	1.054900713	274.8932799	101.5953919	34.40049316	11.69157512	8.523857951	1.900818789	0.553674289	6.952502879	12.55702679	0.15508
53	L64	850	24.8553	121.53128	874	89	8	100	5	0	3	18.5	44	0.938023937	3.672	224.0043674	0.873124624	409.4444171	181.4836251	98.88098952	26.26243132	22.1886465	4.160989026	1.027582505	15.32630947	14.91491865	0.15775
54	L65	850	24.85461	121.53145	868	188	13	100	10	5	4	25.5	143	1.084304164	4.09	177.2206125	0.973480676	190.8345388	131.9192973	56.38047458	9.929298174	12.50032542	2.29137376	0.770797987	9.79211363	12.70386508	0.15775
55	L66	850	24.85489	121.53076	870	336	10	100	0	0	5	35	69	0.971405921	3.963	61.44667477	0.880004433	314.5189165	128.7824212	48.25527891	9.606614508	5.978646478	2.614236929	0.787671281	10.71666141	13.60549975	0.15775
56	L67	850	24.85422	121.52923	865	241	16	100	2	5	3.5	25	164	1.08860007	3.975	104.6859324	0.799079088	348.0463256	140.9371399	46.86159822	7.898457611	7.773896032	2.467346822	0.659824588	9.012578452	13.65905213	0.15794
57	L6L	850	24.85399	121.531	860	170	27	100	30	10	3	12	125	1.085835205	3.794	279.1131613	0.935844469	325.674247	124.8224557	60.63422998	26.85455052	7.96896834	2.853428308	0.56769703	7.885599248	13.89050645	0.15775
58	L6R	850	24.85442	121.52996	860	200	23	100	15	5	3.5	19.75	155	1.10954951	3.8	76.97633235	0.836059659	344.4686673	105.9765968	50.22607387	14.76155904	8.882322202	2.14120953	0.637355406	8.901667827	13.96656833	0.15775
59	L6W	850	24.85559	121.53023	860	300	17	100	10	0.75	4	26.5	105	1.045418818	3.751	63.00014975	0.918426266	336.5693627	88.51385131	44.84268812	15.76820301	7.696383428	2.314023886	0.577702456	8.35700759	14.46593744	0.15508
